name,Selection,Bowl,Favorite,Underdog,Confidence_Score
Caroline,Washington,Alamo,Texas,Washington,14
Caroline,Wyoming,Arizona,Ohio,Wyoming,11
Caroline,Baylor,Armed Forces,Baylor,Air Force,29
Caroline,Miami (Ohio),Bahamas,Miami (Ohio),UAB,35
Caroline,East Carolina,Birmingham,East Carolina,Coastal Carolina,20
Caroline,Liberty,Boca Raton,Toledo,Liberty,5
Caroline,Georgia Southern,Camellia,Georgia Southern,Buffalo,8
Caroline,Florida State,Cheez-It,Florida State,Oklahoma,31
Caroline,LSU,Citrus,LSU,Purdue ,33
Caroline,USC,Cotton,USC,Tulane,23
Caroline,UTSA,Cure,UTSA,Troy,34
Caroline,NC State,Duke's Mayo,Maryland,NC State,32
Caroline,Cincinnati,Fenway,Louisville,Cincinnati,10
Caroline,Michigan,Fiesta semifinal,Michigan,TCU,40
Caroline,Memphis,First Responder,Memphis,Utah State,30
Caroline,Boise State,Frisco,Boise State,North Texas,18
Caroline,Wake Forest,Gasparilla,Wake Forest,Missouri,27
Caroline,South Carolina,Gator,Notre Dame,South Carolina,24
Caroline,Wisconsin,Guaranteed Rate,Wisconsin,Oklahoma State,19
Caroline,San Diego State,Hawai'i,San Diego State,Middle Tennessee,2
Caroline,Oregon,Holiday,Oregon,North Carolina,37
Caroline,Houston,Independence,Houston,Louisiana,26
Caroline,Washington State,Jimmy Kimmel L.A.,Washington State,Fresno State,15
Caroline,Oregon State,Las Vegas,Oregon State,Florida,28
Caroline,Southern Miss,LendingTree,Southern Miss,Rice,17
Caroline,Kansas,Liberty,Arkansas,Kansas,21
Caroline,Duke,Military,UCF,Duke,7
Caroline,Iowa,Music City,Kentucky,Iowa,3
Caroline,Marshall,Myrtle Beach,Marshall,UConn,36
Caroline,Georgia,National Championship,Winner of Peach,Winner of Fiesta,42
Caroline,SMU,New Mexico,BYU,SMU,1
Caroline,Western Kentucky,New Orleans,South Alabama,Western Kentucky,9
Caroline,Tennessee,Orange,Clemson,Tennessee,39
Caroline,Georgia,Peach semifinal,Georgia,Ohio State,41
