name,Selection,Bowl,Favorite,Underdog,Confidence_Score
Alex,Oregon,Alamo,Oklahoma,Oregon,1
Alex,Boise State,Arizona,Boise State,C. Michigan,39
Alex,Army,Armed Forces,Army,Missouri,18
Alex,Toledo,Bahamas,Toledo,Middle Tenn.,37
Alex,Auburn,Birmingham,Auburn,Houston,14
Alex,App. State,Boca Raton,App. State,W. Kentucky,33
Alex,Ball State,Camellia,Georgia State,Ball State,16
Alex,Clemson,Cheez-It,Clemson,Iowa State,10
Alex,Kentucky,Citrus,Iowa,Kentucky,7
Alex,Alabama,Cotton Bowl (CFP Semis),Alabama,Cincinnati,42
Alex,C. Carolina,Cure,C. Carolina,N. Illinois,38
Alex,N. Carolina,Duke's Mayo,N. Carolina,S. Carolina,32
Alex,Wyoming,Famous Idaho Potato,Wyoming,Kent State,21
Alex,Virginia,Fenway,Virginia,SMU,12
Alex,Oklahoma State,Fiesta,Notre Dame,Oklahoma State,9
Alex,Louisville,First Responder,Air Force,Louisville,11
Alex,San Diego State,Frisco,UTSA,San Diego State,19
Alex,North Texas,Frisco Classic,"Miami, OH",North Texas,23
Alex,Florida,Gasparilla,Florida,UCF,25
Alex,Minnesota,Guaranteed Rate,Minnesota,West Virginia,29
Alex,Memphis ,Hawai'i,Memphis ,Hawaii,22
Alex,NC State,Holiday,NC State,UCLA,15
Alex,BYU,Independence,BYU,UAB,35
Alex,Utah State,L.A.,Oregon State,Utah State,26
Alex,Wisconsin,Las Vegas,Wisconsin,Arizona State,31
Alex,Liberty,LendingTree,Liberty,E. Michigan,34
Alex,Miss. State,Liberty,Miss. State,Texas Tech,36
Alex,ECU ,Military,Boston College,ECU ,2
Alex,Tennessee,Music City,Purdue,Tennessee,4
Alex,Tulsa,Myrtle Beach,Tulsa,Old Dominion,28
Alex,Alabama,National Championship,Alabama,Georgia,43
Alex,Fresno State,New Mexico,Fresno State,UTEP,40
Alex,Louisiana-Lafayette,New Orleans,Louisiana-Lafayette,Marshall,24
Alex,Georgia,Orange Bowl (CFP Semis),Georgia,Michigan,41
Alex,Penn State,Outback,Penn State,Arkansas,20
Alex,Michigan State,Peach,Pittsburgh,Michigan State,3
Alex,Virginia Tech,Pinstripe,Virginia Tech,Maryland,17
Alex,Nevada,Quick Lane,Nevada,W. Michigan,27
Alex,Ohio State,Rose,Ohio State,Utah,30
Alex,Baylor,Sugar,Ole Miss,Baylor,8
Alex,Wake Forest,TaxSlayer,Texas A&M,Wake Forest,5
Alex,Kansas State,Texas Bowl,LSU,Kansas State,6
Alex,Miami,Tony the Tiger,Miami,Wash. State,13
Caroline,Oregon,Alamo,Oklahoma,Oregon,32
Caroline,Boise State,Arizona,Boise State,C. Michigan,40
Caroline,Missouri,Armed Forces,Army,Missouri,3
Caroline,Toledo,Bahamas,Toledo,Middle Tenn.,2
Caroline,Auburn,Birmingham,Auburn,Houston,9
Caroline,W. Kentucky,Boca Raton,App. State,W. Kentucky,4
