name,Selection,Bowl,Favorite,Underdog,Confidence_Score
Caroline,Stanford,Alamo,TCU,Stanford,4
Caroline,Utah State,Arizona,Utah State,New Mexico State,13
Caroline,San Diego State,Armed Forces,San Diego State,Army,22
Caroline,Ohio ,Bahamas,Ohio ,UAB,25
Caroline,Wake Forest,Belk,Wake Forest,Texas A&M,15
Caroline,USF,Birmingham,USF,Texas Tech,18
Caroline,FAU,Boca Raton ,FAU,Akron,36
Caroline,Clemson,CFP National Championship,Winner of Rose,Winner of Sugar,41
Caroline,UCLA,Cactus,Kansas State,UCLA,7
Caroline,Middle Tennessee State,Camellia,Arkansas State,Middle Tennessee State,2
Caroline,Oklahoma State,Camping World,Oklahoma State,Virginia Tech,29
Caroline,North Carolina A&T,Celebration,North Carolina A&T,Grambling State,32
Caroline,Notre Dame,Citrus,LSU,Notre Dame,12
Caroline,USC,Cotton,Ohio State,USC,14
Caroline,Georgia State,Cure,Western Kentucky,Georgia State,1
Caroline,Toledo,Dollar General,Toledo,Appalachian State,24
Caroline,Central Michigan,Famous Idaho Potato,Wyoming,Central Michigan,10
Caroline,Penn State,Fiesta,Penn State,Washington,38
Caroline,Arizona,Foster Farms,Arizona,Purdue,23
Caroline,SMU,Frisco,SMU,LA Tech,21
Caroline,FIU,Gasparilla,Temple,FIU,19
Caroline,Fresno State,Hawai'i ,Houston,Fresno State,9
Caroline,Utah,Heart of Dallas,Utah,West Virginia,20
Caroline,Michigan State,Holiday,Washington State,Michigan State,16
Caroline,Florida State,Independence,Florida State,Southern Miss,37
Caroline,Oregon,Las Vegas,Oregon,Boise State,27
Caroline,Iowa State,Liberty,Memphis,Iowa State,11
Caroline,Navy,Military,Virginia,Navy,6
Caroline,Northwestern,Music City,Northwestern,Kentucky,35
Caroline,Colorado State,New Mexico,Colorado State,Marshall,26
Caroline,Troy,New Orleans,Troy,North Texas,28
Caroline,Wisconsin,Orange,Wisconsin,Miami,31
Caroline,South Carolina,Outback,Michigan,South Carolina,3
Caroline,Auburn,Peach,Auburn,UCF,34
Caroline,Boston College,Pinstripe,Iowa,Boston College,8
Caroline,Northern Illinois,Quick Lane,Duke,Northern Illinois,17
Caroline,Oklahoma,Rose (CFP Semifinals),Oklahoma,Georgia,39
Caroline,Clemson,Sugar (CFP Semifinals),Alabama,Clemson,40
Caroline,NC State,Sun,NC State,Arizona State,33
Caroline,Louisville,Taxslayer,Louisville,Mississippi State,30
Caroline,Texas,Texas,Missouri,Texas,5
Derick,TCU,Alamo,TCU,Stanford,16
Derick,Utah State,Arizona,Utah State,New Mexico State,4
Derick,San Diego State,Armed Forces,San Diego State,Army,23
Derick,UAB,Bahamas,Ohio ,UAB,3
