name,Selection,Bowl,Favorite,Underdog,Confidence_Score
Darryl,Air Force,Arizona,Air Force,South Alabama,35
Derick,Air Force,Arizona,Air Force,South Alabama,22
Harper,Air Force,Arizona,Air Force,South Alabama,32
JHajdin,Air Force,Arizona,Air Force,South Alabama,41
Joey,Air Force,Arizona,Air Force,South Alabama,39
JPearce,Air Force,Arizona,Air Force,South Alabama,39
Darryl,Alabama,Peach,Alabama,Washington,38
Derick,Alabama,National Championship,Winner of Peach,Winner of Fiesta,33
Derick,Alabama,Peach,Alabama,Washington,34
Harper,Alabama,Peach,Alabama,Washington,41
JHajdin,Alabama,National Championship,Winner of Peach,Winner of Fiesta,10
JHajdin,Alabama,Peach,Alabama,Washington,39
Joel,Alabama,National Championship,Winner of Peach,Winner of Fiesta,1
Joel,Alabama,Peach,Alabama,Washington,40
Joey,Alabama,National Championship,Winner of Peach,Winner of Fiesta,40
Joey,Alabama,Peach,Alabama,Washington,41
JPearce,Alabama,National Championship,Winner of Peach,Winner of Fiesta,18
JPearce,Alabama,Peach,Alabama,Washington,41
Harper,Appalachian State,Camellia,Toledo,Appalachian State,4
JHajdin,Appalachian State,Camellia,Toledo,Appalachian State,15
Joey,Appalachian State,Camellia,Toledo,Appalachian State,9
JPearce,Appalachian State,Camellia,Toledo,Appalachian State,15
JHajdin,Arkansas State,Cure,UCF,Arkansas State,28
Joey,Arkansas State,Cure,UCF,Arkansas State,4
Joey,Arkansas,Belk,Virginia Tech,Arkansas,5
JHajdin,Army,Heart of Dallas,Army,North Texas,30
Joel,Army,Heart of Dallas,Army,North Texas,36
Joey,Army,Heart of Dallas,Army,North Texas,26
JPearce,Army,Heart of Dallas,Army,North Texas,29
Darryl,Auburn,Sugar,Oklahoma,Auburn,11
Harper,Auburn,Sugar,Oklahoma,Auburn,10
Joel,Auburn,Sugar,Oklahoma,Auburn,17
Joey,Auburn,Sugar,Oklahoma,Auburn,1
JPearce,Auburn,Sugar,Oklahoma,Auburn,2
Joel,Baylor,Cactus,Boise State,Baylor,6
Darryl,Boise State,Cactus,Boise State,Baylor,30
Derick,Boise State,Cactus,Boise State,Baylor,41
Harper,Boise State,Cactus,Boise State,Baylor,24
JHajdin,Boise State,Cactus,Boise State,Baylor,38
Joey,Boise State,Cactus,Boise State,Baylor,32
JPearce,Boise State,Cactus,Boise State,Baylor,36
