name,Selection,Bowl,Favorite,Underdog,Confidence_Score
Caroline,Utah,Alamo,Utah,Texas,35
Caroline,Georgia State,Arizona,Wyoming,Georgia State,14
Caroline,Tulane,Armed Forces,Tulane,Southern Miss,20
Caroline,Charlotte,Bahamas,Buffalo,Charlotte,6
Caroline,Virginia Tech,Belk,Virginia Tech,Kentucky,17
Caroline,Boston College,Birmingham,Cincinnati,Boston College,8
Caroline,FAU,Boca Raton,SMU,FAU,2
Caroline,Arkansas State,Camellia,Arkansas State,FIU,4
Caroline,Notre Dame,Camping World,Notre Dame,Iowa State,16
Caroline,Washington State,Cheez-It,Air Force,Washington State,7
Caroline,Alabama,Citrus,Alabama,Michigan,18
Caroline,Penn State,Cotton,Penn State,Memphis,27
Caroline,Georgia Southern,Cure,Georgia Southern,Liberty,25
Caroline,Clemson,Fiesta Bowl,Clemson,Ohio State,38
Caroline,Western Michigan,First Responder,Western Kentucky,Western Michigan,9
Caroline,Utah State,Frisco,Utah State,Kent State,13
Caroline,UCF,Gasparilla,UCF,Marshall,34
Caroline,Indiana,Gator,Tennessee,Indiana,10
Caroline,Hawaii,Hawaii,BYU,Hawaii,24
Caroline,USC,Holiday,Iowa,USC,15
Caroline,Ohio,Idaho Potato,Ohio,Nevada,29
Caroline,Miami (FL),Independence,Miami (FL),Louisiana Tech,12
Caroline,Boise State ,Las Vegas,Washington,Boise State ,3
Caroline,Louisiana,Lending Tree Bowl,Louisiana,Miami (OH),28
Caroline,Navy,Liberty,Kansas State,Navy,21
Caroline,North Carolina,Military,North Carolina,Temple,23
Caroline,Louisville,Music City,Mississippi State,Louisville,22
Caroline,LSU,National Championship,Winner of Peach,Winner of Fiesta,40
Caroline,Central Michigan,New Mexico,San Diego State,Central Michigan,5
Caroline,Appalachian State,New Orleans,Appalachian State,UAB,36
Caroline,Florida,Orange,Florida,Virginia,33
Caroline,Minnesota,Outback,Auburn,Minnesota,30
Caroline,LSU,Peach Bowl,LSU,Oklahoma,39
Caroline,Michigan State,Pinstripe,Michigan State,Wake Forest,26
Caroline,Pitt,Quick Lane,Pitt,Eastern Michigan,32
Caroline,Illinois,Redbox,Cal,Illinois,1
Caroline,Oregon,Rose,Wisconsin,Oregon,19
Caroline,Georgia,Sugar,Georgia,Baylor,37
Caroline,Texas A&M,Texas,Texas A&M,Oklahoma State,11
Caroline,Arizona State,Tony the Tiger Sun,Arizona State,Florida State,31
Derick,Utah,Alamo,Utah,Texas,20
Derick,Georgia State,Arizona,Wyoming,Georgia State,9
Derick,Tulane,Armed Forces,Tulane,Southern Miss,25
Derick,Charlotte,Bahamas,Buffalo,Charlotte,13
Derick,Kentucky,Belk,Virginia Tech,Kentucky,22
Derick,Cincinnati,Birmingham,Cincinnati,Boston College,23
Derick,SMU,Boca Raton,SMU,FAU,2
Derick,Arkansas State,Camellia,Arkansas State,FIU,6
Derick,Notre Dame,Camping World,Notre Dame,Iowa State,28
Derick,Washington State,Cheez-It,Air Force,Washington State,7
Derick,Michigan,Citrus,Alabama,Michigan,4
Derick,Memphis,Cotton,Penn State,Memphis,8
Derick,Georgia Southern,Cure,Georgia Southern,Liberty,32
Derick,Clemson,Fiesta Bowl,Clemson,Ohio State,38
Derick,Western Kentucky,First Responder,Western Kentucky,Western Michigan,5
Derick,Utah State,Frisco,Utah State,Kent State,18
Derick,UCF,Gasparilla,UCF,Marshall,29
Derick,Tennessee,Gator,Tennessee,Indiana,36
Derick,Hawaii,Hawaii,BYU,Hawaii,16
Derick,USC,Holiday,Iowa,USC,14
Derick,Ohio,Idaho Potato,Ohio,Nevada,11
Derick,Louisiana Tech,Independence,Miami (FL),Louisiana Tech,27
Derick,Washington,Las Vegas,Washington,Boise State ,19
Derick,Louisiana,Lending Tree Bowl,Louisiana,Miami (OH),34
Derick,Kansas State,Liberty,Kansas State,Navy,12
Derick,North Carolina,Military,North Carolina,Temple,15
Derick,Louisville,Music City,Mississippi State,Louisville,21
Derick,Clemson,National Championship,Winner of Peach,Winner of Fiesta,40
Derick,San Diego State,New Mexico,San Diego State,Central Michigan,3
Derick,Appalachian State,New Orleans,Appalachian State,UAB,35
Derick,Florida,Orange,Florida,Virginia,33
Derick,Auburn,Outback,Auburn,Minnesota,10
Derick,LSU,Peach Bowl,LSU,Oklahoma,39
Derick,Wake Forest,Pinstripe,Michigan State,Wake Forest,17
Derick,Eastern Michigan,Quick Lane,Pitt,Eastern Michigan,1
Derick,Illinois,Redbox,Cal,Illinois,24
Derick,Oregon,Rose,Wisconsin,Oregon,30
Derick,Georgia,Sugar,Georgia,Baylor,31
Derick,Texas A&M,Texas,Texas A&M,Oklahoma State,37
Derick,Florida State,Tony the Tiger Sun,Arizona State,Florida State,26
Harper,Utah,Alamo,Utah,Texas,29
Harper,Georgia State,Arizona,Wyoming,Georgia State,3
Harper,Tulane,Armed Forces,Tulane,Southern Miss,26
Harper,Buffalo,Bahamas,Buffalo,Charlotte,21
Harper,Virginia Tech,Belk,Virginia Tech,Kentucky,17
Harper,Cincinnati,Birmingham,Cincinnati,Boston College,28
Harper,FAU,Boca Raton,SMU,FAU,10
Harper,FIU,Camellia,Arkansas State,FIU,11
Harper,Iowa State,Camping World,Notre Dame,Iowa State,13
Harper,Washington State,Cheez-It,Air Force,Washington State,12
Harper,Michigan,Citrus,Alabama,Michigan,4
Harper,Penn State,Cotton,Penn State,Memphis,31
Harper,Georgia Southern,Cure,Georgia Southern,Liberty,23
Harper,Clemson,Fiesta Bowl,Clemson,Ohio State,38
Harper,Western Michigan,First Responder,Western Kentucky,Western Michigan,14
Harper,Utah State,Frisco,Utah State,Kent State,24
Harper,UCF,Gasparilla,UCF,Marshall,36
Harper,Indiana,Gator,Tennessee,Indiana,9
Harper,Hawaii,Hawaii,BYU,Hawaii,6
Harper,Iowa,Holiday,Iowa,USC,16
Harper,Ohio,Idaho Potato,Ohio,Nevada,25
Harper,Louisiana Tech,Independence,Miami (FL),Louisiana Tech,2
Harper,Washington,Las Vegas,Washington,Boise State ,19
Harper,Louisiana,Lending Tree Bowl,Louisiana,Miami (OH),35
Harper,Navy,Liberty,Kansas State,Navy,8
Harper,North Carolina,Military,North Carolina,Temple,30
Harper,Louisville,Music City,Mississippi State,Louisville,7
Harper,Clemson,National Championship,Winner of Peach,Winner of Fiesta,40
Harper,San Diego State,New Mexico,San Diego State,Central Michigan,20
Harper,Appalachian State,New Orleans,Appalachian State,UAB,37
Harper,Florida,Orange,Florida,Virginia,34
Harper,Auburn,Outback,Auburn,Minnesota,32
Harper,LSU,Peach Bowl,LSU,Oklahoma,39
Harper,Michigan State,Pinstripe,Michigan State,Wake Forest,18
Harper,Pitt,Quick Lane,Pitt,Eastern Michigan,22
Harper,Cal,Redbox,Cal,Illinois,27
